State Abbreviation,State Name,Job Count,Post per Salary Range,Posts per County,Posts per Company,Post per Experience Level,Posts per Jop Type,Mean Salary Per State
0,AL,Alabama,0,{},{},{},{},{},N\A
1,AZ,Alaska,0,{},{},{},{},{},N\A
2,AR,Arizona,0,{},{},{},{},{},N\A
3,CA,Arkansas,11,"{'75000': '8', '100000': '4', '85000': '6', '70000': '10', '120000': '2'}","{'Los Angeles': '9', 'San Francisco': '2'}",{'The Boston Consulting Group': '11'},"{'Entry_Level': '4', 'Senior_Level': '1', 'Mid_Level': '4'}","{'Full-time': '11', 'Temporary': '1'}",118724
4,CO,California,1,{},{'Denver': '1'},{'The Boston Consulting Group': '1'},{'Mid_Level': '1'},{'Full-time': '1'},49941
5,CT,Colorado,0,{},{},{},{},{},N\A
6,DE,Connecticut,0,{},{},{},{},{},N\A
7,FL,Delaware,1,{},{'Miami': '1'},{'The Boston Consulting Group': '1'},{'Entry_Level': '1'},"{'Part-time': '1', 'Temporary': '1'}",25900.0
8,GA,Florida,24,"{'75000': '11', '50000': '23', '85000': '5', '70000': '13', '55000': '20'}",{'Atlanta': '24'},{'The Boston Consulting Group': '24'},"{'Entry_Level': '6', 'Senior_Level': '8', 'Mid_Level': '7'}","{'Full-time': '23', 'Part-time': '1', 'Temporary': '1'}",25940.0
9,ID,Georgia,0,{},{},{},{},{},N\A
10,IL,Hawaii,40,"{'75000': '35', '100000': '23', '105000': '19', '130000': '7', '85000': '31'}",{'Chicago': '40'},{'The Boston Consulting Group': '40'},"{'Entry_Level': '2', 'Senior_Level': '13', 'Mid_Level': '18'}","{'Full-time': '40', 'Internship': '2', 'Contract': '2', 'Temporary': '5', 'Part-time': '1'}",42631
11,IN,Idaho,0,{},{},{},{},{},N\A
12,IA,Illinois,0,{},{},{},{},{},N\A
13,KS,Indiana,0,{},{},{},{},{},N\A
14,KY,Iowa,0,{},{},{},{},{},N\A
15,LA,Kansas,0,{},{},{},{},{},N\A
16,ME,Kentucky,0,{},{},{},{},{},N\A
17,MD,Louisiana,0,{},{},{},{},{},N\A
18,MA,Maine,56,"{'110000': '31', '120000': '23', '95000': '39', '140000': '11', '70000': '48'}",{'Boston': '56'},{'The Boston Consulting Group': '56'},"{'Entry_Level': '5', 'Senior_Level': '18', 'Mid_Level': '19'}","{'Full-time': '55', 'Part-time': '1', 'Contract': '1', 'Temporary': '2'}",129977
19,MI,Maryland,0,{},{},{},{},{},N\A
20,MN,Massachusetts,1,{},{'Minneapolis': '1'},{'Boston Consulting Group': '1'},{'Mid_Level': '1'},{'Full-time': '1'},40740.0
21,MS,Michigan,0,{},{},{},{},{},N\A
22,MO,Minnesota,0,{},{},{},{},{},N\A
23,MT,Mississippi,0,{},{},{},{},{},N\A
24,NE,Missouri,0,{},{},{},{},{},N\A
25,NV,Montana,0,{},{},{},{},{},N\A
26,NH,Nebraska,0,{},{},{},{},{},N\A
27,NJ,Nevada,5,"{'110000': '3', '135000': '1', '55000': '4'}",{'Washington': '1'},{'The Boston Consulting Group': '5'},"{'Senior_Level': '2', 'Mid_Level': '3'}",{'Full-time': '5'},53923
28,NM,New Hampshire,0,{},{},{},{},{},N\A
29,NY,New Jersey,33,"{'105000': '23', '115000': '21', '140000': '12', '85000': '29', '150000': '6'}","{'New York': '31', 'Kingdom': '1', 'Boston': '1'}",{'The Boston Consulting Group': '33'},"{'Entry_Level': '5', 'Senior_Level': '10', 'Mid_Level': '8'}","{'Full-time': '33', 'Temporary': '3'}",124924
30,NC,New Mexico,0,{},{},{},{},{},N\A
31,ND,New York,0,{},{},{},{},{},N\A
32,OH,North Carolina,0,{},{},{},{},{},N\A
33,OK,North Dakota,0,{},{},{},{},{},N\A
34,OR,Ohio,0,{},{},{},{},{},N\A
35,PA,Oklahoma,9,"{'65000': '4', '50000': '7', '60000': '5', '45000': '8', '90000': '2'}","{'Philadelphia': '1', 'Pittsburgh': '8'}",{'The Boston Consulting Group': '9'},"{'Entry_Level': '5', 'Senior_Level': '1', 'Mid_Level': '1'}","{'Full-time': '9', 'Internship': '4', 'Temporary': '4'}",47334
36,RI,Oregon,0,{},{},{},{},{},N\A
37,SC,Pennsylvania,0,{},{},{},{},{},N\A
38,SD,Rhode Island,0,{},{},{},{},{},N\A
39,TN,South Carolina,0,{},{},{},{},{},N\A
40,TX,South Dakota,5,"{'130000': '1', '100000': '3', '60000': '4'}","{'Houston': '4', 'Dallas': '1'}",{'The Boston Consulting Group': '5'},"{'Senior_Level': '3', 'Mid_Level': '1'}",{'Full-time': '5'},49363
41,UT,Tennessee,0,{},{},{},{},{},N\A
42,VT,Texas,0,{},{},{},{},{},N\A
43,VA,Utah,0,{},{},{},{},{},N\A
44,WA,Vermont,7,"{'105000': '4', '100000': '5', '130000': '3', '140000': '2', '60000': '6'}",{'Seattle': '7'},{'Boston Consulting Group': '7'},"{'Entry_Level': '1', 'Senior_Level': '3', 'Mid_Level': '2'}",{'Full-time': '7'},127650
45,WV,Virginia,0,{},{},{},{},{},N\A
46,WI,Washington,0,{},{},{},{},{},N\A
47,WY,West Virginia,0,{},{},{},{},{},N\A
48,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0
