,State Abbreviation,State Name,Job Count,Post per Salary Range,Posts per County,Posts per Company,Post per Experience Level,Posts per Jop Type,Mean Salary Per State
0,AL,Alabama,60,"{'75000': '21', '55000': '46', '60000': '35', '70000': '27', '80000': '13'}","{'Moody': '1', 'Fort Rucker': '2', 'Birmingham': '21', 'Daphne': '1', 'Stevenson': '2', 'Montgomery': '5', 'Tuscaloosa': '1', 'Dothan': '1', 'Fairhope': '1', 'Mobile': '3', 'Gadsden': '1', 'Huntsville': '18', 'Sylacauga': '1', 'Florence': '1'}","{'ConsultNet': '1', 'TekLinks': '1', 'ITAC Solutions': '2', 'WestRock': '2', 'Cushman & Wakefield': '2', 'Veterans Technology': ' LLC', 'Connection': '1', 'Jacobs': '2', 'Bank of America': '10', 'BBB Industries LLC': '1', 'Lifeguard Ambulance Service': '1', 'Northrop Grumman': '3', 'Rezult Financial': '1', 'BBVA Compass': '2', 'PANGEATWO': '3'}","{'Entry_Level': '21', 'Mid_Level': '25', 'Senior_Level': '7'}","{'Full-time': '56', 'Internship': '1', 'Temporary': '2', 'Commission': '2', 'Contract': '3'}",65776
1,AZ,Alaska,204,"{'85000': '41', '75000': '97', '65000': '140', '60000': '155', '80000': '61'}","{'Chandler': '12', 'Tucson': '33', 'Sun City': '1', 'Scottsdale': '42', 'Surprise': '2', 'Tempe': '23', 'Mesa': '5', 'Phoenix': '76', 'Gilbert': '2', 'Glendale': '1', 'Sun City West': '2', 'Lake Havasu City': '2', 'Flagstaff': '1'}","{'Salt River Project': '4', 'CVS Health': '3', 'The Resource Link': ' Inc', 'Republic Services': '10', 'Katerra Inc': '3', 'Ledgent Finance & Accounting': '4', 'Wells Fargo': '4', 'GoDaddy': '3', ""P.F. Chang's"": '3', 'VincentBenjamin': '8', 'Raytheon': '22', 'Bank of America': '27', 'Headfarmer': '5', 'CBRE': '3', 'Orbital ATK': '3'}","{'Entry_Level': '60', 'Mid_Level': '76', 'Senior_Level': '22'}","{'Full-time': '196', 'Internship': '1', 'Commission': '2', 'Part-time': '1', 'Contract': '13', 'Temporary': '2'}",61738
2,AR,Arizona,28,"{'75000': '4', '65000': '7', '40000': '20', '50000': '17', '60000': '12'}","{'Springdale': '2', 'Lowell': '2', 'North Little Rock': '1', 'Bentonville': '3', 'Camden': '1', 'Fort Smith': '1', 'Fordyce': '1', 'Fayetteville': '1', 'Hot Springs': '1', 'Little Rock': '9', 'Jonesboro': '1', 'Manila': '1', 'Conway': '2', 'Rogers': '1'}","{'HealthSCOPE Benefits': '1', 'Premier Staffing': ' a BelFlex Company', 'E*TRADE FINANCIAL': '1', 'JB Hunt': '2', 'GEORGIA-PACIFIC': '1', 'Bank of America': '4', 'Concert Consulting Inc': '1', 'Arkansas Department of Emergency Management': '1', 'DBG Arkansas': ' LLC', 'ArcBest': '1', 'Simmons Bank': '1', 'Lockheed Martin': '1', 'Dassault Falcon Jet': '1', 'Liberty Personnel Services': '2'}","{'Entry_Level': '15', 'Mid_Level': '9'}","{'Full-time': '26', 'Internship': '1', 'Temporary': '2', 'Contract': '3'}",47273
3,CA,Arkansas,1618,"{'75000': '880', '95000': '301', '65000': '1120', '80000': '749', '90000': '463'}","{'Irvine': '61', 'El Segundo': '50', 'Palo Alto': '24', 'San Jose': '48', 'Oakland': '27', 'San Francisco': '154', 'Sacramento': '24', 'San Diego': '99', 'Los Angeles': '146', 'Santa Clara Valley': '33', 'Pleasanton': '27', 'Santa Clara': '46', 'Sunnyvale': '45'}","{'Edison International': '10', 'Blue Shield of California': '11', 'Kaiser Permanente': '24', 'Century Group': '43', 'Parker and Lynch': '10', 'Bank of America': '218', 'Visa': '11', 'Raytheon': '33', 'Thermo Fisher Scientific': '10', 'Apple': '33', 'Consultative Search Group': '11', 'Oracle': '11', 'Warner Bros. Entertainment Group': '11', 'Robert Half Finance & Accounting': '33', 'Accounting Principals': '11'}","{'Entry_Level': '452', 'Mid_Level': '580', 'Senior_Level': '296'}","{'Full-time': '1506', 'Internship': '18', 'Commission': '23', 'Part-time': '15', 'Contract': '103', 'Temporary': '43'}",73184
4,CO,California,151,"{'75000': '63', '65000': '112', '60000': '129', '70000': '81', '80000': '37'}","{'Denver': '60', 'Loveland': '3', 'Golden': '3', 'Englewood': '8', 'Boulder': '8', 'Colorado Springs': '12', 'Grand Junction': '3', 'Centennial': '10', 'Greenwood Village': '3', 'Louisville': '4', 'Aurora': '6', 'Littleton': '4', 'Broomfield': '9'}","{'Arrow Electronics': ' Inc.', 'Zayo Group': '3', 'Sound Physicians': '2', 'Intellect Resources': '2', 'Janus Henderson': '2', 'Lockheed Martin': '4', ""Children's Hospital Colorado"": '3', 'Xcel Energy': '3', 'DCP Midstream': '2', 'Bank of America': '6', 'Aimco': '5', 'Shane Co': '2', 'DISH Network': '6', 'Northrop Grumman': '3', 'Hosting': '2'}","{'Entry_Level': '30', 'Mid_Level': '74', 'Senior_Level': '15'}","{'Full-time': '141', 'Internship': '2', 'Commission': '4', 'Part-time': '1', 'Contract': '9', 'Temporary': '2'}",63321
5,CT,Colorado,122,"{'85000': '23', '65000': '69', '70000': '57', '50000': '93', '80000': '36'}","{'Rocky Hill': '4', 'East Hartford': '4', 'Stamford': '16', 'Stratford': '3', 'Fairfield': '4', 'Farmington': '3', 'New Haven': '8', 'Windsor Locks': '5', 'Manchester': '4', 'Southbury': '2', 'Waterbury': '3', 'Norwalk': '9', 'West Hartford': '3', 'Hartford': '12'}","{'Mohegan Sun': '2', 'Western Connecticut Health Network': '3', 'Businesses PRATT & WHITNEY': '3', 'ESPN': '2', 'Kantar': '2', 'Yale New Haven Health Services': '3', 'Accountemps': '3', 'Bank of America': '18', 'Elite Placement Group': '4', 'Legrand': '2', 'CareersinConnecticut': '4', 'The McIntyre Group': '2', 'Genworth': '5', 'Robert Half Finance & Accounting': '5', 'Smith Arnold Partners': '2'}","{'Entry_Level': '44', 'Mid_Level': '48', 'Senior_Level': '11'}","{'Full-time': '109', 'Internship': '2', 'Commission': '3', 'Part-time': '3', 'Temporary': '6', 'Contract': '8'}",72914
6,DE,Connecticut,39,"{'85000': '9', '55000': '27', '80000': '16', '70000': '24', '90000': '5'}","{'Rehoboth Beach': '2', 'Dover': '4', 'Newark': '11', 'Wilmington': '21', 'New Castle': '1'}","{'JP Morgan Chase': '10', 'Experis': '1', 'Highmark Health': '1', 'AstraZeneca': '1', 'The Chemours Company': '1', 'Professional Recruiting Consultants': ' Inc.', 'Data Inc.': '2', 'BPG Real Estate Service': '1', 'M&T Bank': '2', 'Bank of America': '7', 'CSC': 'Corporation Service Company', 'Chesapeake Utilities Corporation': '1', 'Unlisted - Equity Real Estate Fund Manager': '1', 'DecisivEdge': '1', 'AAA Club Alliance': '1'}","{'Entry_Level': '15', 'Mid_Level': '15', 'Senior_Level': '5'}","{'Full-time': '36', 'Temporary': '1', 'Contract': '3'}",47980.0
7,FL,Delaware,604,"{'75000': '214', '55000': '452', '60000': '404', '70000': '288', '85000': '93'}","{'Coral Gables': '14', 'Lake Buena Vista': '14', 'Miramar': '8', 'Saint Petersburg': '18', 'Clearwater': '16', 'Jacksonville': '55', 'Lake Mary': '18', 'Orlando': '57', 'Boca Raton': '22', 'Doral': '9', 'Miami': '64', 'Sunrise': '11', 'Fort Lauderdale': '23', 'Tampa': '74'}","{'ADT Security Services': '6', 'FIS': '7', 'Verizon': '11', 'University of Miami': '7', 'Lockheed Martin': '18', 'Ascendo Resources': '8', 'Citi': '11', 'Parker and Lynch': '8', 'Bank of America': '65', 'The Walt Disney Company': 'Corporate', 'WellCare': '11', 'Disney Parks & Resorts': '6', 'Accounting Principals': '7', 'Robert Half Finance & Accounting': '7', 'Primary Recruiting Services': '9'}","{'Entry_Level': '168', 'Mid_Level': '257', 'Senior_Level': '56'}","{'Full-time': '562', 'Internship': '2', 'Commission': '4', 'Part-time': '1', 'Contract': '50', 'Temporary': '16'}",60316
8,GA,Florida,294,"{'90000': '51', '75000': '146', '65000': '210', '60000': '231', '80000': '116'}","{'Peachtree City': '3', 'Warner Robins': '3', 'Athens': '3', 'Atlanta': '158', 'Duluth': '7', 'Decatur': '3', 'Norcross': '7', 'Savannah': '5', 'Marietta': '5', 'Lawrenceville': '3', 'Alpharetta': '43', 'Kennesaw': '4', 'Covington': '4', 'Sandy Springs': '4'}","{'Fiserv': ' Inc.', 'SunTrust': '7', 'Verizon': '4', 'Bank of America': '11', 'WestRock': '6', 'AquantUs': ' LLC', 'GEORGIA-PACIFIC': '3', 'Fidelis Search': '4', 'firstPRO Inc.': '4', 'BSC Solutions Inc': '4', 'CHEP': '4', 'The Intersect Group': '7', 'Turner': '6', 'The Home Depot': '6', 'Robert Half Finance & Accounting': '16'}","{'Entry_Level': '51', 'Mid_Level': '108', 'Senior_Level': '56'}","{'Full-time': '275', 'Temporary': '7', 'Commission': '3', 'Part-time': '3', 'Contract': '18'}",64170
9,ID,Georgia,21,"{'85000': '4', '55000': '15', '60000': '12', '70000': '9', '80000': '6'}","{'Eagle': '1', 'Garden City': '1', 'Boise': '8', 'Hayden': '1', 'Idaho Falls': '8', ""Coeur d'Alene"": '1', 'Nampa': '1'}","{'Unitech Composites': '1', 'CDI': '1', 'TalentPool Search': ' Inc.', 'DXC Technology': '1', 'Melaleuca': '2', 'Lamb Weston': '1', 'Mountain View Hospital': '1', 'Bank of America': '4', 'Safeway Inc': '1', 'Micron': '2', 'Albertsons Companies': '2', 'College of Western Idaho': '1', 'Idahoan Foods': ' LLC'}","{'Entry_Level': '6', 'Mid_Level': '9', 'Senior_Level': '3'}",{'Full-time': '21'},53878
10,IL,Hawaii,595,"{'90000': '125', '75000': '316', '60000': '475', '70000': '370', '80000': '258'}","{'Naperville': '7', 'Northbrook': '18', 'Lake Forest': '15', 'Oak Brook': '17', 'Downers Grove': '16', 'Rosemont': '10', 'Evanston': '8', 'Deerfield': '20', 'Chicago': '251', 'Bolingbrook': '10', 'Hoffman Estates': '8', 'Lisle': '12', 'Glenview': '8', 'Schaumburg': '11'}","{'BMO Financial Group': '6', 'International Financial Group': '17', 'CFS': ' Inc.', 'The University of Chicago': '5', 'JLL': '5', 'ConAgra Foods': '5', 'Sears Holdings Management Corporation': '6', 'Parker and Lynch': '9', 'Bank of America': '30', 'WALGREENS': '10', 'Conagra Brands': '5', 'Abbott Laboratories': '5', 'Northern Trust Corp.': '4', 'Robert Half Finance & Accounting': '41', 'Accounting Principals': '19'}","{'Entry_Level': '141', 'Mid_Level': '228', 'Senior_Level': '115'}","{'Full-time': '563', 'Internship': '1', 'Commission': '8', 'Part-time': '6', 'Temporary': '9', 'Contract': '43'}",66823
11,IN,Idaho,106,"{'85000': '22', '55000': '84', '70000': '51', '65000': '64', '80000': '32'}","{'Elkhart': '7', 'Richmond': '1', 'Warsaw': '10', 'Indianapolis': '34', 'Greensburg': '1', 'Columbus': '7', 'Lafayette': '5', 'Fort Wayne': '8', 'Bloomington': '5', 'South Bend': '3', 'Fishers': '2', 'Evansville': '8', 'Greenfield': '1', 'Carmel': '3'}","{'RB': '4', 'Zimmer Biomet': '3', 'Biomet': '3', 'Purdue University': '2', 'Cook Medical': '3', 'Gateway': '2', 'Parker and Lynch': '2', 'Bank of America': '8', 'Wabash National Corporation': '2', 'Department of Defense': '2', 'Harrison College': '2', 'Cummins Inc.': '6', 'Johnson & Johnson Family of Companies': '3', 'Performant Solutions': '3', 'Robert Half Finance & Accounting': '5'}","{'Entry_Level': '26', 'Mid_Level': '35', 'Senior_Level': '22'}","{'Full-time': '104', 'Temporary': '1', 'Part-time': '2', 'Contract': '2'}",61506
12,IA,Illinois,41,"{'75000': '13', '55000': '33', '60000': '26', '65000': '24', '80000': '9'}","{'Des Moines': '7', 'Hiawatha': '3', 'Ames': '2', 'West Des Moines': '3', 'Iowa City': '2', 'Johnston': '2', 'Waukee': '1', 'Cedar Rapids': '5', 'Spirit Lake': '4', 'Fort Dodge': '1', 'Coralville': '2', 'Davenport': '3', 'Marshalltown': '2', 'Urbandale': '2'}","{'Integrated DNA Technologies': ' Inc', 'UnityPoint Health': '2', 'Wells Fargo': '2', 'W.R. Berkley Corporation': '1', 'ACT': ' Inc.', 'Rabo Agri Finance LLC': '2', 'Bank of America': '3', 'Rembrandt Foods': '2', 'Windstream Communications': '2', 'GreatAmerica Financial Services': '2', 'Mercy Health': '1', 'The University of Iowa': '1', 'Fidelity & Guaranty Life': '2', 'Robert Half Finance & Accounting': '6', 'Palmer Group': '1'}","{'Entry_Level': '12', 'Mid_Level': '19', 'Senior_Level': '2'}","{'Full-time': '39', 'Internship': '1', 'Temporary': '2', 'Contract': '1'}",48469
13,KS,Indiana,61,"{'75000': '16', '55000': '47', '70000': '30', '65000': '35', '80000': '12'}","{'Fredonia': '1', 'Westwood': '1', 'Shawnee Mission': '1', 'Cottonwood Falls': '1', 'Mission': '1', 'Junction City': '1', 'Wichita': '5', 'Overland Park': '25', 'Lenexa': '7', 'Edgerton': '1', 'Leawood': '6', 'Kansas City': '3', 'Topeka': '3', 'Olathe': '3'}","{'DD Traders Inc.': '1', 'Black & Veatch': '2', 'Waddell and Reed': '1', 'Sprint': '1', 'Compass Minerals': '1', 'LMI Aerospace': '2', 'Fortune Personnel Consultants of Raleigh': '1', 'Spirit AeroSystems': '2', 'Bank of America': '9', 'Morgan Hunter': '2', 'Victorian Trading Company': '2', 'Hunter Hamilton': '2', 'Home Credit US LLC': '2', 'KeyBank': '1', 'Garmin': '2'}","{'Entry_Level': '15', 'Mid_Level': '33', 'Senior_Level': '7'}","{'Full-time': '61', 'Commission': '2', 'Contract': '1'}",55045
