,State Abbreviation,State Name,Job Count,Post per Salary Range,Posts per County,Posts per Company,Post per Experience Level,Posts per Jop Type,Mean Salary Per State
0,AL,Alabama,20,"{'40000': '8', '35000': '19', '45000': '2'}","{'Tuscaloosa': '3', 'Bessemer': '4', 'Jasper': '3', 'Shelby': '3', 'Alabaster': '7'}",{'GMS Mine Repair & Maintenance': '20'},{'Entry_Level': '20'},{'Full-time': '20'},N\A
1,AK,Alaska,0,{},{},{},{},{},N\A
2,AZ,Arizona,0,{},{},{},{},{},N\A
3,AR,Arkansas,0,{},{},{},{},{},N\A
4,CA,California,0,{},{},{},{},{},N\A
5,CO,Colorado,3,{'60000': '2'},"{'Craig': '1', 'Gunnison County': '1', 'Denver': '1'}","{'Zooks Solutions': '1', 'State of Colorado Job Opportunities': '2'}",{'Entry_Level': '2'},{'Full-time': '3'},62423
6,CT,Connecticut,0,{},{},{},{},{},N\A
7,DE,Delaware,0,{},{},{},{},{},N\A
8,FL,Florida,0,{},{},{},{},{},N\A
9,GA,Georgia,0,{},{},{},{},{},N\A
10,HI,Hawaii,0,{},{},{},{},{},N\A
11,ID,Idaho,0,{},{},{},{},{},N\A
12,IL,Illinois,7,"{'40000': '5', '35000': '6', '60000': '1', '45000': '2'}","{'Mount Carmel': '1', 'Harrisburg': '1', 'Coulterville': '1', 'Carrier Mills': '3', 'Eldorado': '1'}","{'S & L Industries': '1', 'ACT Resources': '1', 'GMS Mine Repair & Maintenance': '1', 'Fabick Cat': '3', 'David Stanley Consultants': ' LLC'}","{'Entry_Level': '5', 'Mid_Level': '2'}","{'Temporary': '2', 'Full-time': '7'}",40440.0
13,IN,Indiana,5,"{'40000': '3', '35000': '4', '55000': '1', '50000': '2'}","{'Princeton': '1', 'Indianapolis': '1', 'Owensville': '1', 'Boonville': '1', 'Francisco': '1'}","{'ACT Resources Staffing': '1', 'Gibson County Coal': ' LLC', 'Peabody Energy': '1', 'MENTOR NETWORK': '1', 'David Stanley Consultants': ' LLC'}","{'Entry_Level': '4', 'Mid_Level': '1'}","{'Temporary': '1', 'Full-time': '5'}",41600.0
14,IA,Iowa,0,{},{},{},{},{},N\A
15,KS,Kansas,0,{},{},{},{},{},N\A
